Constituency,SN,Candidate,Party,Votes
Shanti Nagar,2,H MANJUNATH,Janata Dal (Secular),825
Shanti Nagar,3,K SHIVAKUMAR,Bharatiya Janata Party,53905
Shanti Nagar,4,SATISH CHANDRA .M,Bahujan Samaj Party,301
Shanti Nagar,5,N. A. HARIS,Indian National Congress,61030
Shanti Nagar,6,ANTHONY A SANTHOSH,Indian Christian Front,233
Shanti Nagar,7,D.RUBEN MOSES,All India Mahila Empowerment Party,240
Shanti Nagar,8,ROWLAND SOANS A,Karnataka Rashtra Samithi,138
Shanti Nagar,9,SYED ASIF BUKHARI,Bharatiya Prajagala Kalyana Paksha,107
Shanti Nagar,10,K NATARAJU,Independent,104
Shanti Nagar,11,NOTA,None of the Above,1483
Gandhi Nagar,1,S GOPINATH,Aam Aadmi Party,733
Gandhi Nagar,2,DINESH GUNDU RAO,Indian National Congress,54118
Gandhi Nagar,3,V NARAYANASWAMY,Janata Dal (Secular),12857
Gandhi Nagar,4,SAPTHAGIRI GOWDA A R,Bharatiya Janata Party,54013
Gandhi Nagar,5,ARUN KUMAR D,Indian Movement Party,239
Gandhi Nagar,6,KRISHNAIAH,Rashtriya Samaj Dal (R),102
Gandhi Nagar,7,S M DIVAKAR,Republican Party of India (Athawale),325
Gandhi Nagar,8,PRAKASH K,Karnataka Rashtra Samithi,316
Gandhi Nagar,9,PRASHANTH KUMAR,Janahitha Paksha,70
Gandhi Nagar,10,BASAVARAJA M D,Uttama Prajaakeeya Party,746
Gandhi Nagar,11,K STEPHEN,All India Mahila Empowerment Party,89
Gandhi Nagar,12,KRISSHNAIAH SETTY ES EN MALURU,Independent,6871
Gandhi Nagar,13,G GAJENDRA,Independent,135
Gandhi Nagar,14,PUSHPA RANI S,Independent,123
Gandhi Nagar,15,P BASAPPACHAR,Independent,180
Gandhi Nagar,16,NOTA,None of the Above,1692
Rajaji Nagar,1,DR ANJANAPPA.T.H.,Janata Dal (Secular),4081
Rajaji Nagar,2,B.T.NAGANNA,Aam Aadmi Party,701
Rajaji Nagar,3,PUTTANNA,Indian National Congress,50564
Rajaji Nagar,4,S.SURESH KUMAR,Bharatiya Janata Party,58624
Rajaji Nagar,5,AKSHAY.K.,Karnataka Rashtra Samithi,281
Rajaji Nagar,6,CHETHAN VASHISTA.B.S,Rashtriya Samaj Dal (R),38
Rajaji Nagar,7,BHAVYA S.B,Indian Movement Party,93
Rajaji Nagar,8,MOHAN KUMAR.K.,Uttama Prajaakeeya Party,1213
Rajaji Nagar,9,RAMA T.C.,Socialist Unity Centre Of India (COMMUNIST),83
Rajaji Nagar,10,SHIVAKUMAR BHADRAIAH,Janata Dal (United),85
Rajaji Nagar,11,ABHIMANI NARENDRA,Independent,54
Rajaji Nagar,12,NARASIMHALU.M,Independent,42
Rajaji Nagar,13,NAGARAJA.H.N,Independent,111
Rajaji Nagar,14,PANDURANGAN.S,Independent,128
Rajaji Nagar,15,PUTTANNA,Independent,144
Rajaji Nagar,16,MAHESH RAJASHEKAR,Independent,129
Rajaji Nagar,17,LINGARAJU,Independent,54
Rajaji Nagar,18,SUHAIL AHMED,Independent,62
Rajaji Nagar,19,NOTA,None of the Above,1700
Govindraj Nagar,1,K. UMESH SHETTY,Bharatiya Janata Party,69618
Govindraj Nagar,2,ANJANA GOWDA,Aam Aadmi Party,452
Govindraj Nagar,3,PARVEEZ KHAN. P,Bahujan Samaj Party,163
Govindraj Nagar,4,R PRAKASH,Janata Dal (Secular),4583
Govindraj Nagar,5,PRIYAKRISHNA,Indian National Congress,82134
